symbol,timestamp,open,high,low,close,volume
SPY,2019-01-01,148.7078975131019,152.28932641429412,147.60960121157058,151.02703285385675,406649
SPY,2019-01-02,151.02703285385675,154.20391722905302,149.58287280104136,152.83477035814497,987025
SPY,2019-01-03,152.83477035814497,153.91022644510127,151.65053037457415,153.2289619008388,1197189
SPY,2019-01-04,153.2289619008388,153.84889557714385,151.8099370667999,153.71466060280224,1335714
SPY,2019-01-07,153.71466060280224,154.6823979875518,149.51227170535716,150.52657692230486,861997
SPY,2019-01-08,150.52657692230486,151.827189821658,150.24556799896186,151.3882591030685,910280
SPY,2019-01-09,151.3882591030685,155.29240259120553,150.1631022856893,153.80745592888985,874311
SPY,2019-01-10,153.80745592888985,154.48753101345812,152.53384564127316,154.040355737879,849258
SPY,2019-01-11,154.040355737879,154.81246835240725,153.59878850412642,153.96704194017565,663323
SPY,2019-01-14,153.96704194017565,154.6548459056424,151.4523469888249,152.00372018822915,1421017
SPY,2019-01-15,152.00372018822915,152.61503707039262,152.00171393827137,152.10510798787362,926973
SPY,2019-01-16,152.10510798787362,152.70356272621075,150.30325941821545,150.5016989026657,808414
SPY,2019-01-17,150.5016989026657,154.48206327689235,149.29203405155985,153.5146361932161,1015587
SPY,2019-01-18,153.5146361932161,156.55990035487542,152.85805229683882,155.30133531926816,440007
SPY,2019-01-21,155.30133531926816,155.9500852074565,153.31662279624908,154.49107261969948,1352494
SPY,2019-01-22,154.49107261969948,154.83739877456176,153.23869675421744,153.7909754384036,797278
SPY,2019-01-23,153.7909754384036,155.7607359637581,152.5812355386307,154.52734382329965,708790
SPY,2019-01-24,154.52734382329965,155.81848047811175,150.9279095756473,152.03759245240494,1309963
SPY,2019-01-25,152.03759245240494,152.7496214541975,149.65913785980968,150.96015494143134,1124475
SPY,2019-01-28,150.96015494143134,154.9634976885601,149.68853182953202,154.05774026519072,1008812
SPY,2019-01-29,154.05774026519072,155.22786947617055,152.9944171395407,155.0368103776087,665733
SPY,2019-01-30,155.0368103776087,155.2292062161074,153.15627322065575,153.80209984642966,1348820
SPY,2019-01-31,153.80209984642966,154.39322134195925,152.19449775835483,153.32664891110875,739909
SPY,2019-02-01,153.32664891110875,154.24985657116736,151.89914364999336,154.21487008696886,1271221
SPY,2019-02-04,154.21487008696886,155.10811529198213,152.80428751390795,153.52066771444055,1106404
SPY,2019-02-05,153.52066771444055,155.7130280089686,153.4049989220587,155.0349650833066,961478
SPY,2019-02-06,155.0349650833066,155.17892973476114,153.36300786612622,154.58538892061165,1390588
SPY,2019-02-07,154.58538892061165,154.59733878444433,152.1218012935934,152.7681839983789,1026960
SPY,2019-02-08,152.7681839983789,152.88567898447644,152.36550205258405,152.678636399109,976785
SPY,2019-02-11,152.678636399109,154.7852609475437,151.9052369403936,154.08796108224774,1121796
SPY,2019-02-12,154.08796108224774,155.7704982780334,153.15572420054679,154.62695287181597,668872
SPY,2019-02-13,154.62695287181597,155.83423873376074,152.7144686894945,153.27205103214925,947643
SPY,2019-02-14,153.27205103214925,154.62814267746683,151.8814297125103,153.49433824647429,1345665
SPY,2019-02-15,153.49433824647429,154.46184342921867,153.08653684398732,153.67577896519296,1163598
SPY,2019-02-18,153.67577896519296,153.87185579605918,152.98014308982926,153.6449724366392,1145083
SPY,2019-02-19,153.6449724366392,154.59595505134493,153.1260276899892,153.7330888653118,783431
SPY,2019-02-20,153.7330888653118,155.26771066189653,152.56343982181713,154.70016465188002,1093418
SPY,2019-02-21,154.70016465188002,154.8926478208209,152.03715684406777,152.5635787989825,985994
SPY,2019-02-22,152.5635787989825,153.25330885625962,152.05952193750767,152.5180398621803,877678
SPY,2019-02-25,152.5180398621803,153.7136476592889,150.35958739538552,150.8611217523741,1046329
SPY,2019-02-26,150.8611217523741,154.71956352980143,149.6002434502769,153.35616265373628,1135876
SPY,2019-02-27,153.35616265373628,154.12785802605762,149.89303995089233,151.05424650061877,1301039
SPY,2019-02-28,151.05424650061877,153.78908995196008,150.5524023549426,153.12810976712348,889664
SPY,2019-03-01,153.12810976712348,157.41094305770488,152.3731997791407,155.85271955036788,701784
SPY,2019-03-04,155.85271955036788,155.9187227835326,154.26426193257467,155.1311616003263,911295
SPY,2019-03-05,155.1311616003263,156.2098341855048,151.86875774483053,153.0026713158337,1043006
SPY,2019-03-06,153.0026713158337,154.5181194331516,151.27197163060583,151.84025575579346,749754
SPY,2019-03-07,151.84025575579346,153.04487257144294,150.31971200510176,151.48466427658056,1313558
SPY,2019-03-08,151.48466427658056,154.3445474298596,150.60607849073355,152.9084034246729,1084153
SPY,2019-03-11,152.9084034246729,154.06791658428418,151.15940633178687,152.14972375637873,717107
SPY,2019-03-12,152.14972375637873,152.90997065190533,149.40037562452466,150.52441181157113,1164384
SPY,2019-03-13,150.52441181157113,150.80375537142808,149.04077408263655,149.3683810402886,1024603
SPY,2019-03-14,149.3683810402886,150.8465080284261,149.06492418006314,150.09010525901672,679254
SPY,2019-03-15,150.09010525901672,151.43382767045736,148.81621178840496,150.13166740211082,1068710
SPY,2019-03-18,150.13166740211082,153.31699343829496,149.09816595066286,153.0220403790897,1020902
SPY,2019-03-19,153.0220403790897,154.4028295697035,151.83896780688085,154.27366528083178,894721
SPY,2019-03-20,154.27366528083178,156.70464187593117,153.70855599259662,155.9444093270807,738004
SPY,2019-03-21,155.9444093270807,156.81772141225179,154.51150966838878,156.7530298328377,1030453
SPY,2019-03-22,156.7530298328377,159.3723749235279,156.01340167372635,158.76292382362905,1087474
SPY,2019-03-25,158.76292382362905,159.61176498430262,158.43353944973157,158.46554144394136,1205591
